horizon,model,metric,value,ci_low,ci_high,threshold,prevalence
7,balanced_random_forest,mcc,0.13450251750094822,0.12615124589274002,0.14456516510146805,0.025222551928783383,natural
7,balanced_random_forest,f1,0.10043855877547511,0.09402692504322183,0.10789624400789541,0.025222551928783383,natural
7,balanced_random_forest,pr_auc,0.050240243762278515,0.04508231267879878,0.05854754979903908,0.025222551928783383,natural
7,xgboost,mcc,0.14158624931873656,0.12564158143226586,0.15890572684990797,0.19696970283985138,natural
7,xgboost,f1,0.13686967910936476,0.12046550388697165,0.15431704354849646,0.19696970283985138,natural
7,xgboost,pr_auc,0.061709307206678235,0.053213932334022156,0.07166786829514762,0.19696970283985138,natural
7,lightgbm,mcc,0.15053931869298115,0.13206005172835522,0.16922481235950726,0.22522522522522523,natural
7,lightgbm,f1,0.14006398862424457,0.12265598085025481,0.15760904354507366,0.22522522522522523,natural
7,lightgbm,pr_auc,0.07098652286798968,0.06168991342114429,0.08176211943286395,0.22522522522522523,natural
7,decision_tree,mcc,0.12391953509512056,0.11752110906249064,0.13030852745933874,0.9638953871661115,natural
7,decision_tree,f1,0.07024979709622148,0.06677924274451895,0.07381919223673462,0.9638953871661115,natural
7,decision_tree,pr_auc,0.028768735099953688,0.025836995269669507,0.03198034882212044,0.9638953871661115,natural
7,logistic_regression,mcc,-0.00024165733978606796,-0.00024844103689889585,-0.00023422964501857354,1e-6,natural
7,logistic_regression,f1,0.0,0.0,0.0,1e-6,natural
7,logistic_regression,pr_auc,0.00032100112350393225,0.00032100112350393225,0.00032100112350393225,1e-6,natural
7,most_frequent,mcc,0.0,0.0,0.0,0.5,natural
7,most_frequent,f1,0.0,0.0,0.0,0.5,natural
7,most_frequent,pr_auc,0.00032100112350393225,0.00032100112350393225,0.00032100112350393225,0.5,natural
7,soft_voting_stack,mcc,0.15058953190087243,0.13061458893111372,0.17194618665533568,0.16924519354353382,natural
7,soft_voting_stack,f1,0.12743926722421345,0.10998753078093386,0.14746761033919178,0.16924519354353382,natural
7,soft_voting_stack,pr_auc,0.08439371045909858,0.07413460511696815,0.09754416788378073,0.16924519354353382,natural
14,balanced_random_forest,mcc,0.15400633930832563,0.14646393195486598,0.161271389293424,0.043153526970954356,natural
14,balanced_random_forest,f1,0.1381509032943677,0.13138120006963602,0.14445946696986292,0.043153526970954356,natural
