month,distance_from_training
2023-01-01,0.04398354070627699
2023-02-01,0.04049635748111154
2023-03-01,0.03997842771805566
2023-04-01,0.041048807572511385
2023-05-01,0.0393573281219383
2023-06-01,0.040263853316161675
2023-07-01,0.04107889809106403
2023-08-01,0.041428137821178775
2023-09-01,0.04117025827028743
2023-10-01,0.03940590992976892
2023-11-01,0.040106605163835414
2023-12-01,0.04966720014952718
2024-01-01,0.039382216842647574
2024-02-01,0.04031823994851177
2024-03-01,0.03916426355638364
2024-04-01,0.04419040006505142
2024-05-01,0.04078273787728775
2024-06-01,0.039254458751156296
2024-07-01,0.038636528046178946
2024-08-01,0.04391851034585785
2024-09-01,0.03915931426788686
2024-10-01,0.055509660104549226
2024-11-01,0.04399835696113009
2024-12-01,0.03680459993217185
2025-01-01,0.04662655390163053
2025-02-01,0.03246862845411588
2025-03-01,0.03787487199079773
2025-04-01,0.04312058069352049
2025-05-01,0.03634741705893071
2025-06-01,0.03401814562109365
2025-07-01,0.03421584318591425
2025-08-01,0.03888500373732
2025-09-01,0.05063244716844761
2025-10-01,0.04162652894000589
2025-11-01,0.04051835014498202
2025-12-01,0.026653213894213122
