starting_year,strategy,mean_mcc,ci_low,ci_high,meets_0.85,mean_mcc_fixed_prev,initial_mcc,final_mcc,degradation_per_month,degradation_per_month_fixed_prev,sustainment_months_vs_0.85,sustainment_reference,sustainment_months_vs_reference,mean_pr_auc,mean_f1
2015,incremental_online,0.09481827958266482,0.08628111952238574,0.10338542457334222,false,0.09654460353599298,0.09166814904996023,0.06532050799621297,-0.00023086798949740255,0.0005900435960326786,0,0.07333451923996819,0,0.03678288571599679,0.05768000519430924
2015,static_baseline,0.11412324352854822,0.09357466573938554,0.13707883990106998,false,0.11094762342665072,0.19457699208892565,0.07268554357251904,-0.0026072025266254614,-0.0017447969506745192,0,0.15566159367114052,2,0.05040650609304381,0.08743235634334999
2018,incremental_online,0.08954851551166895,0.07909688935378008,0.10050092769737873,false,0.08971564966385953,0.11811524192630578,0.062181475771490004,-0.001106446906346547,-0.00013914603893150097,0,0.09449219354104463,3,0.035112708470578596,0.059600713580689905
2018,static_baseline,0.09444328813520274,0.07361513691854253,0.11930510731551358,false,0.0895367242857601,0.15840647868452964,0.043570196658793435,-0.002688839649073725,-0.0014927483713522694,0,0.12672518294762372,0,0.047190343338787494,0.05779812968317726
2021,incremental_online,0.09876355230524052,0.08765632684523957,0.1097543746036853,false,0.09852723332849858,0.10557670951122967,0.0731879130937042,-0.0008272544787431636,0.000024979676317779743,0,0.08446136760898375,6,0.03838221425490315,0.06567773491963097
2021,static_baseline,0.18376514962870535,0.164802543717438,0.20249420326677783,false,0.18560428083595562,0.22690525542360174,0.09466001485940816,-0.0033360702347456123,-0.0022633106079149546,0,0.1815242043388814,3,0.12104515483994945,0.156073637813289
