mcc,mcc_ci_low,mcc_ci_high,mcc_fixed_prev,f1,f1_ci_low,f1_ci_high,pr_auc,pr_auc_ci_low,pr_auc_ci_high,prevalence,n,flag_rate,starting_year,strategy,month
0.0629509558124484,0.025948444315044276,0.10830755023376291,0.0716685237549063,0.04142011834319527,0.0174343853820598,0.0704074151654797,0.0542329110949458,0.009104591060729895,0.1504590219079492,0.000472561876070648,84645,0.0035205859767263275,2015,incremental_online,2023-01-01
0.10516841281401833,0.05411306619196318,0.15082045316882797,0.11164484777459924,0.0670391061452514,0.03602534285026866,0.09632412116919907,0.032728640761769484,0.009567649902022989,0.09780394640958869,0.0005239785692765166,76339,0.004165629625748307,2015,incremental_online,2023-02-01
0.10688507852341396,0.065131364798063,0.15325715393808872,0.07764349514853996,0.07674943566591422,0.048734684529943895,0.11018682995130721,0.020880590241941655,0.012585743482898792,0.040931735535017846,0.0007665275124413312,84798,0.004457652303120356,2015,incremental_online,2023-03-01
0.11216886441941548,0.07732948831992184,0.14605405058489782,0.0842028687224592,0.07387140902872777,0.05319786445848769,0.09595344271277244,0.023415171207814653,0.01419563282793347,0.038987612753747354,0.0010926462367230776,78708,0.008194846775423082,2015,incremental_online,2023-04-01
0.0938165911288617,0.06778935789051811,0.12260325945369063,0.08395306017503426,0.050880626223091974,0.03725490196078431,0.06641932209645669,0.029099207826667858,0.014405006421904341,0.08240868348961541,0.0008922260460481338,86301,0.010950046928772552,2015,incremental_online,2023-05-01
0.08463988515522228,0.05566124551174645,0.11497474107140342,0.06409989776558635,0.0521978021978022,0.03465638998682477,0.07041253182532414,0.021026941676266758,0.011050636240245064,0.050441859435821676,0.0008747124233128835,83456,0.007848447085889571,2015,incremental_online,2023-06-01
0.06561080231165563,0.0370560901117738,0.09845684411207013,0.0691475181066637,0.03385049365303244,0.019416132887510238,0.0498807812335636,0.008624443687264605,0.004621320823849729,0.018354875439075366,0.0005450643289463225,88063,0.007505990029864983,2015,incremental_online,2023-07-01
0.0828961570371145,0.04450801921828427,0.12599572004748413,0.07514151816205603,0.059770114942528735,0.032935404068169326,0.09012541953718425,0.019348538343450735,0.010379678880976555,0.039634679096282724,0.0006913388208352237,92574,0.004007604727029187,2015,incremental_online,2023-08-01
0.11096473924734478,0.08013278157288453,0.14212518040106492,0.11261071936388876,0.04933586337760911,0.03584234329729347,0.06313455789083752,0.08460955363153613,0.03530632954435114,0.17384249580914976,0.0005912605004518123,89639,0.011167014357589888,2015,incremental_online,2023-09-01
0.134665596029175,0.10196261485854283,0.1770322284489209,0.11647105051061392,0.07930607187112763,0.06112537208334667,0.10553680931832193,0.06481520525386446,0.03644794023075031,0.13896583527894285,0.0007950895270807493,94329,0.007760073784308113,2015,incremental_online,2023-10-01
0.10943139036827187,0.07277818257216061,0.14821239396852828,0.1109193864834028,0.0650887573964497,0.044005219944538085,0.08804066226688644,0.02877550328860622,0.016647785377084435,0.052996144760762635,0.0006885348194209853,92951,0.006584114210713171,2015,incremental_online,2023-11-01
0.05784023703536981,0.02505955930126327,0.08894726383705207,0.07057844334650362,0.029173419773095625,0.013173706967792156,0.044322053585256316,0.008914974281073906,0.004287533275769226,0.02053734556282056,0.0004180558313562776,95681,0.0060304553673143045,2015,incremental_online,2023-12-01
0.1334851859233612,0.09544173862801644,0.18035072793029414,0.12070295527788179,0.0975609756097561,0.069054651985049,0.1317059454733328,0.0529598049178238,0.02310609960094131,0.1181605534620266,0.0007818527853505478,97205,0.0042796152461293145,2015,incremental_online,2024-01-01
0.07386178334041962,0.03619790474789751,0.11308920267264207,0.06827689294832175,0.055710306406685235,0.02784558756007224,0.0854781054512958,0.021481887544299107,0.013047979223745843,0.044763511987997204,0.0006417438028214973,91937,0.003263104082143207,2015,incremental_online,2024-02-01
0.0980106979263271,0.06813901399006778,0.13314756247665618,0.10894100630025243,0.03905614320585842,0.027277970751147153,0.052812223147377185,0.014670190046044529,0.008467766080281948,0.03086632160397945,0.0004894958193061147,100103,0.01178785850573909,2015,incremental_online,2024-03-01
0.09843017366301465,0.06186437165814274,0.1274571901550544,0.11400437511057011,0.04481132075471698,0.0286498298939631,0.05802675585284282,0.1060276116251216,0.03178789108241093,0.19867404695539592,0.00046169472744621255,97467,0.00823868591420686,2015,incremental_online,2024-04-01
0.07403870042638162,0.045122464466565745,0.11181277549498701,0.07719464282080206,0.048411497730711045,0.02989301517536305,0.073629918699187,0.023247221025283503,0.01193605658715654,0.06344262142029665,0.0007514633760480937,101136,0.005784290460370194,2015,incremental_online,2024-05-01
0.12545255296295474,0.08048422611204005,0.16352933388712554,0.1210855430731749,0.07114624505928854,0.04711417223553146,0.09249048206678229,0.10508458833827451,0.039951970386647655,0.198176804094002,0.0006595502881727413,98552,0.007041967692182807,2015,incremental_online,2024-06-01
0.11700647179328928,0.07996367027995564,0.15283646395201503,0.10201658380681031,0.07673860911270983,0.05313849408227129,0.09976881957784964,0.043991025844357025,0.02441634033649391,0.07922625057591703,0.000956564177647633,102450,0.0071839921913128355,2015,incremental_online,2024-07-01
0.08138930437747255,0.05644672297737134,0.10336888262464348,0.07838023689161208,0.04284490145672665,0.030313161789235606,0.05469110649479777,0.014359544035817188,0.009390483034120687,0.025770832790204395,0.0007932208636433988,103376,0.01049566630552546,2015,incremental_online,2024-08-01
