starting_year,static_mean_mcc,online_mean_mcc,mcc_gain,static_degradation_per_month,online_degradation_per_month,adaptation_effectiveness,static_sustainment_vs_reference,online_sustainment_vs_reference
2015,0.11412324352854822,0.09481827958266482,-0.019304963945883394,-0.0017447969506745192,0.0005900435960326786,-0.06042290633140461,2,0
2018,0.09444328813520274,0.08954851551166895,-0.004894772623533786,-0.0014927483713522694,-0.00013914603893150097,0.16206793518903334,0,3
2021,0.18376514962870535,0.09876355230524052,-0.08500159732346484,-0.0022633106079149546,0.000024979676317779743,-0.16236578098461785,3,6
