model,max_horizon_days_at_mcc_gt_080,meets_mcc_080,best_horizon_days,best_mcc,best_mcc_ci_low,best_mcc_ci_high,best_pr_auc,meets_15min_lead
soft_voting_stack,-1,false,30,0.19961573091615054,0.1913090720932805,0.20649255397285626,0.11409900672145004,true
lightgbm,-1,false,30,0.19608202781383935,0.18852754380178982,0.2020184762747661,0.10013105420644053,true
xgboost,-1,false,30,0.19525094527540732,0.18625043822083534,0.20081511145446876,0.10195948085186113,true
balanced_random_forest,-1,false,30,0.1818631749600419,0.17528585545098418,0.18716056171946,0.08397500819842742,true
decision_tree,-1,false,30,0.16668935789221787,0.15991689683961335,0.17187785959535887,0.05130574707948012,true
logistic_regression,-1,false,30,0.0,0.0,0.0,0.0012583377375154146,true
most_frequent,-1,false,7,0.0,0.0,0.0,0.00032100112350393225,true
