model,conflict_scope,metric,value,ci_low,ci_high
logistic_regression,scheduling_violation,f1,0.2826,0.2656,0.2985
logistic_regression,scheduling_violation,mcc,-0.005,-0.0836,0.0699
logistic_regression,scheduling_violation,pr_auc,0.268,0.2052,0.3446
most_frequent,scheduling_violation,cv_mcc_mean,0.0,0.0,0.0
most_frequent,scheduling_violation,f1,0.2882,0.2882,0.2882
most_frequent,scheduling_violation,mcc,0.0,0.0,0.0
most_frequent,scheduling_violation,pr_auc,0.1684,0.1684,0.1684
random_forest,scheduling_violation,cv_mcc_mean,0.2538,0.1764,0.3142
random_forest,scheduling_violation,f1,0.2842,0.2703,0.2964
random_forest,scheduling_violation,mcc,-0.0036,-0.0786,0.0644
random_forest,scheduling_violation,pr_auc,0.3174,0.2433,0.4019
