dataset,model,feature,importance
rq1_backblaze,random_forest,has_nonzero_smart_197_30d,0.015686743921062115
rq1_backblaze,random_forest,month,0.015345412156833863
rq1_backblaze,random_forest,smart_9_rollmean_30d,0.01499581097664997
rq1_backblaze,random_forest,smart_12_raw,0.014174410019314052
rq1_backblaze,random_forest,smart_4_raw,0.01366651635925423
rq1_backblaze,random_forest,smart_9_raw,0.013467200344364253
rq1_backblaze,random_forest,has_smart_8,0.01304844807675707
rq1_backblaze,random_forest,smart_12_rollmean_30d,0.01278568746090483
rq1_backblaze,random_forest,smart_4_rollmean_30d,0.012633471782716966
rq1_backblaze,random_forest,smart_197_rollmean_14d,0.012139661113259918
rq1_backblaze,random_forest,smart_1_rollmean_30d,0.01156363942859389
rq1_backblaze,random_forest,smart_197_rollstd_14d,0.010641139281919796
rq1_backblaze,random_forest,smart_197_rollp99_30d,0.010251858781645916
rq1_backblaze,random_forest,has_nonzero_smart_1_30d,0.008916614227685284
rq1_backblaze,random_forest,has_nonzero_smart_197_7d,0.008880833721194335
rq1_backblaze,random_forest,has_nonzero_smart_5_30d,0.008818741364638737
rq1_backblaze,random_forest,smart_197_rollp99_7d,0.008548977540532533
rq1_backblaze,random_forest,smart_197_rollmean_30d,0.008519949288529442
rq1_backblaze,random_forest,smart_240_raw,0.008489861871133668
rq1_backblaze,random_forest,smart_197_rollp95_30d,0.0077454052188438635
rq1_backblaze,random_forest,has_nonzero_smart_5_14d,0.007563313859953768
