feature,stack_norm_mean_abs_shap
model_prior,0.10753591139026196
days_since_first_nonzero_smart_197,0.09115656557373984
smart_193_raw,0.06362892566123142
drive_age_days,0.05687820566816116
smart_192_raw,0.03675603911542915
days_since_first_nonzero_smart_5,0.03244318707484089
smart_240_raw,0.026543516856862067
has_nonzero_smart_197_30d,0.024482081799767737
smart_193_rollmean_30d,0.023238156183552183
smart_5_rollstd_30d,0.022019012551924236
smart_194_raw,0.021478060010705183
smart_9_raw,0.021246808215542017
smart_3_raw,0.02123870194838247
smart_1_rollmean_30d,0.020181743339606692
smart_9_rollmean_30d,0.018767502373198318
smart_7_delta_7d,0.015421423000081822
capacity_bytes,0.015399805269620356
smart_2_raw,0.014630089293936194
month,0.014257811564484928
smart_4_rollmean_30d,0.01394632399797957
smart_4_raw,0.012438312789318668
smart_240_delta_7d,0.011637527493591692
smart_241_raw,0.011097938935013263
smart_12_rollmean_30d,0.010997999248908853
smart_197_raw,0.010939690059696682
smart_240_rollmean_30d,0.009070473588741511
capacity_tb,0.008616050604376799
smart_242_raw,0.00851598862369662
smart_5_rollstd_14d,0.008339675388713885
smart_12_raw,0.008323193546838512
smart_197_rollstd_14d,0.00791392242192992
smart_4_delta_7d,0.007628679378785714
has_nonzero_smart_197_7d,0.006405142198094069
smart_1_raw,0.006379451492671619
smart_197_rollp99_14d,0.006231930393417452
has_smart_8,0.006096824088411405
smart_197_rollstd_7d,0.005965079591861079
smart_193_delta_7d,0.00587149149096331
smart_5_raw,0.0058364706008311685
smart_197_rollp99_30d,0.005727504415827798
smart_197_rollmean_14d,0.005724683077728128
smart_187_raw,0.005393459963285842
era_smart_187_available,0.005155841242910064
smart_197_rollstd_30d,0.004718795909779726
smart_197_rollp95_7d,0.0046853197232388615
smart_8_raw,0.004381163067714441
smart_9_delta_7d,0.0042907198029267955
smart_197_rollmean_30d,0.00428266669126165
has_nonzero_smart_1_30d,0.004166244758812293
has_nonzero_smart_5_30d,0.004120514138165775
smart_187_delta_7d,0.0040450930323549066
smart_197_rollmean_7d,0.004040204208399216
smart_197_rollp99_7d,0.003994468299509884
smart_190_raw,0.003952782507507047
smart_5_rollmean_30d,0.003911245352389584
is_mfr_hgst,0.0038984348893153476
smart_197_rollp95_30d,0.0037649518313717712
has_nonzero_smart_5_14d,0.0035341530893126544
smart_5_rollp99_14d,0.0035122382659523526
smart_187_rollmean_30d,0.003444545317466595
quarter,0.003408053107385418
days_since_first_nonzero_smart_198,0.0033595320977649512
smart_5_rollp99_30d,0.003266722373079392
smart_196_raw,0.003218939025343171
smart_7_rollmean_30d,0.003106743866825769
smart_199_raw,0.0030848538975518473
has_nonzero_smart_197_14d,0.0030764441718137484
smart_7_raw,0.0030679171684695646
has_smart_2,0.0030039478358203507
is_mfr_seagate,0.002879169180033817
smart_197_delta_7d,0.0026979742520801663
has_smart_240,0.002625274415061888
smart_5_rollstd_7d,0.0026161849324993322
smart_1_delta_7d,0.002597294119277953
is_mfr_toshiba,0.0025387200071643134
smart_5_rollmean_14d,0.0025177223100549535
smart_188_raw,0.0024885891266347737
smart_5_rollp95_7d,0.002396489256466939
has_nonzero_smart_240_30d,0.0023734720933690956
smart_5_rollmean_7d,0.00221295421844664
has_nonzero_smart_5_7d,0.001979835136468566
smart_5_rollp95_30d,0.0019071927683632502
smart_187_rollp95_30d,0.001824479129727414
era_smart_188_available,0.0014714597624451656
smart_12_delta_7d,0.0013737247731675534
smart_198_raw,0.0013576555320044036
smart_5_rollp95_14d,0.0013274621387292104
smart_5_delta_1d,0.0013095272825834631
smart_5_rollp99_7d,0.0011893114219835787
smart_188_rollmean_30d,0.0011309015219475762
smart_188_rollp95_30d,0.0010641106622852477
has_nonzero_smart_7_30d,0.0010230716192561856
smart_197_rollp95_14d,0.0010062399201276734
smart_198_rollmean_30d,0.0009815262082589432
has_smart_196,0.0009390112073606972
smart_197_delta_1d,0.0009187341089019158
smart_5_delta_7d,0.0009138584420422775
has_smart_242,0.0009024259821385118
is_mfr_hitachi,0.0008457011473549278
is_mfr_wdc,0.0008369180446405654
smart_198_rollmean_14d,0.0007993704159068001
has_smart_187,0.0007185244636529644
smart_10_raw,0.0006347871707119451
smart_198_rollstd_14d,0.0006006177513669946
has_smart_190,0.0005611048138270284
has_smart_188,0.0005584989557893872
smart_198_rollp99_30d,0.0004949915562223898
smart_198_rollstd_30d,0.0003918609628389047
smart_198_rollstd_7d,0.0003907578662180279
has_nonzero_smart_198_14d,0.0003851234892036385
has_smart_241,0.00038151667261396733
smart_188_delta_7d,0.0003700896978588617
has_nonzero_smart_198_30d,0.00033646833987048406
smart_198_rollp95_7d,0.0003039776897313296
smart_198_delta_1d,0.00023077188980440754
smart_198_rollmean_7d,0.00020868901410850212
smart_198_rollp99_14d,0.00020150259974335892
smart_198_rollp99_7d,0.00016654927852377207
smart_198_rollp95_30d,0.0001591621285695466
has_smart_193,0.0001570863238083573
smart_198_delta_7d,0.0001530681244813419
smart_198_rollp95_14d,0.0001263632364007505
has_smart_4,0.0000978718421531336
has_smart_192,0.00007773754532809066
has_smart_7,0.00007097371776512372
has_smart_3,0.00005584918629635037
has_nonzero_smart_198_7d,0.00005570501116650554
has_smart_198,0.000046277278175157684
has_smart_10,0.00004596264397923621
has_smart_12,0.00003729817499856512
has_smart_199,0.000032634657229124665
has_nonzero_smart_9_30d,6.75382115875701e-6
has_nonzero_smart_193_30d,1.1265315087398768e-6
has_nonzero_smart_12_30d,3.803086694947531e-8
has_nonzero_smart_4_30d,0.0
